날짜,종목코드,시가총액,상장주식수
2018-01-09,207940,27028402500000,66165000
2018-01-09,214370,899189100000,10743000
2018-01-09,241560,3458596227000,100249166
2018-01-09,251270,14326945872500,85026385
2018-01-09,267250,7223114639500,16286617
2018-01-09,267260,1194076611000,10205783
2018-01-09,271560,4210317856500,39533501
2018-01-10,000100,2554831224000,11665896
2018-01-10,000150,2399750375000,19198003
2018-01-10,000270,13397258618350,405363347
2018-01-10,000660,53071372408500,728002365
2018-01-10,000720,4504340694250,111355765
2018-01-10,000810,12980705338000,47374837
2018-01-10,000990,565689858000,44367832
2018-01-10,001450,3987240000000,89400000
2018-01-10,001570,108697232495,42710111
2018-01-10,002380,4301779047500,10556513
2018-01-10,002790,11832748830000,82458180
2018-01-10,003550,15927023191300,172557131
2018-01-10,003670,2356893000000,59070000
2018-01-10,004020,8073469992500,133445785
2018-01-10,004170,3076619062500,9845181
2018-01-10,004990,5069390400000,73683000
2018-01-10,005380,34252992484500,220276479
2018-01-10,005387,3949455825000,37613865
2018-01-10,005490,32477096037500,87186835
2018-01-10,005830,4956000000000,70800000
2018-01-10,005930,315258522348000,129098494
2018-01-10,005935,35661633320000,18250580
2018-01-10,006280,2506762401000,11686538
2018-01-10,006400,14681227155000,68764530
2018-01-10,006800,6423290173120,666316408
2018-01-10,007070,3145450000000,77000000
2018-01-10,008770,3661849689300,39248121
2018-01-10,008930,6757366329000,62279874
2018-01-10,009150,7693450688000,74693696
2018-01-10,009830,5562315866250,164809359
2018-01-10,010130,10133190000000,18870000
2018-01-10,010140,3482700000000,390000000
2018-01-10,010950,13228478060000,112582792
2018-01-10,011070,3526398943000,23667107
2018-01-10,011170,13041796929500,34275419
2018-01-10,011200,1429629716795,311805827
2018-01-10,012330,24822685065000,97343863
2018-01-10,012450,1835740000000,52600000
2018-01-10,015760,24009456479800,641964077
2018-01-10,017670,21680223403500,80745711
2018-01-10,018260,19421827800000,77377800
2018-01-10,021240,7317212233800,74818121
2018-01-10,024110,9463641973500,559978815
2018-01-10,028260,25323620740500,189690043
2018-01-10,029780,4437395525300,115858891
2018-01-10,030200,7885576601600,261111808
2018-01-10,032830,25000000000000,200000000
2018-01-10,033780,14484358433500,137292497
2018-01-10,034730,20474846427000,70360297
2018-01-10,035420,30589366112000,32962679
2018-01-10,035720,10152324786500,67908527
2018-01-10,036570,9565413592000,21939022
2018-01-10,042660,1695834979200,106656288
2018-01-10,047050,2658734460950,123375149
2018-01-10,047810,4693426402050,97475107
2018-01-10,051900,19085436734000,15618197
2018-01-10,051910,29401710859500,70592343
2018-01-10,052690,880971000000,38220000
2018-01-10,055550,24895478317500,474199587
2018-01-10,058470,813942558000,15242370
2018-01-10,064350,1606500000000,85000000
2018-01-10,066570,17837611726000,163647814
2018-01-10,068270,36309261504000,122666424
2018-01-10,069960,2527463628000,23402441
2018-01-10,071050,4251893189600,55725992
2018-01-10,078930,6067374183400,92915378
2018-01-10,086790,16102566572800,296003062
2018-01-10,088350,6157877700000,868530000
2018-01-10,090430,17859068695000,58458490
2018-01-10,093370,920301539880,92399753
2018-01-10,096770,18770509492000,92465564
2018-01-10,097950,5073047980000,13176748
2018-01-10,105560,27595361442000,418111537
2018-01-10,111770,1386948948400,44311468
2018-01-10,120110,2161522216800,25549908
2018-01-10,128940,6575273228000,11163452
2018-01-10,138040,2157575851800,142885818
2018-01-10,139480,7763415591500,27875819
2018-01-10,161390,6887453836400,123875069
2018-01-10,185750,1392539400000,9409050
2018-01-10,207940,26532165000000,66165000
2018-01-10,214370,905634900000,10743000
2018-01-10,241560,3543808018100,100249166
2018-01-10,251270,14284432680000,85026385
2018-01-10,267250,7410410735000,16286617
2018-01-10,267260,1260414200500,10205783
2018-01-10,271560,4131250854500,39533501
2018-01-11,000100,2560664172000,11665896
2018-01-11,000150,2418948378000,19198003
2018-01-11,000270,13174308777500,405363347
2018-01-11,000660,52852971699000,728002365
2018-01-11,000720,4415256082250,111355765
2018-01-11,000810,13122829849000,47374837
2018-01-11,000990,550161116800,44367832
2018-01-11,001450,4040880000000,89400000
2018-01-11,001570,117452805250,42710111
2018-01-11,002380,4270109508500,10556513
2018-01-11,002790,11915207010000,82458180
2018-01-11,003550,16099580322300,172557131
2018-01-11,003670,2551824000000,59070000
2018-01-11,004020,7926679629000,133445785
2018-01-11,004170,3066773881500,9845181
2018-01-11,004990,5039917200000,73683000
2018-01-11,005380,34142854245000,220276479
2018-01-11,005387,3930648892500,37613865
2018-01-11,005490,31953975027500,87186835
2018-01-11,005830,4878120000000,70800000
2018-01-11,005930,311385567528000,129098494
2018-01-11,005935,35898890860000,18250580
2018-01-11,006280,2535978746000,11686538
2018-01-11,006400,14749991685000,68764530
2018-01-11,006800,6463269157600,666316408
2018-01-11,007070,3118500000000,77000000
2018-01-11,008770,3599052695700,39248121
2018-01-11,008930,6695086455000,62279874
2018-01-11,009150,7842838080000,74693696
2018-01-11,009830,5413987443150,164809359
2018-01-11,010130,9831270000000,18870000
2018-01-11,010140,3510000000000,390000000
2018-01-11,010950,13059603872000,112582792
2018-01-11,011070,3561899603500,23667107
